plate1_move_x(cm)	plate1_move_z(cm)	Coincidence_CosSquaredTheta(/s)	Mean_CosTheta_CosSquaredTheta	Std_CosTheta_CosSquaredTheta	Mean_SolidAngle_CosSquaredTheta(sr)	Std_SolidAngle_CosSquaredTheta(sr)	Mean_CosSquaredTheta_CosSquaredTheta
0.00	10.00	1.9176e-01	9.1415e-01	6.9915e-02	6.9654e-01	6.3062e-02	8.4055e-01
1.00	10.00	1.8947e-01	9.1198e-01	7.1443e-02	6.9186e-01	7.0233e-02	8.3681e-01
2.00	10.00	1.8278e-01	9.0853e-01	7.4297e-02	6.7688e-01	8.6667e-02	8.3095e-01
3.00	10.00	1.7351e-01	9.0222e-01	7.8620e-02	6.5255e-01	1.0553e-01	8.2017e-01
4.00	10.00	1.6230e-01	8.9445e-01	8.4147e-02	6.2019e-01	1.2258e-01	8.0712e-01
5.00	10.00	1.4523e-01	8.8328e-01	9.0531e-02	5.8302e-01	1.3494e-01	7.8837e-01
6.00	10.00	1.3005e-01	8.7294e-01	9.5789e-02	5.3974e-01	1.4293e-01	7.7120e-01
7.00	10.00	1.1492e-01	8.5751e-01	1.0409e-01	4.9471e-01	1.4568e-01	7.4615e-01
8.00	10.00	9.9178e-02	8.3733e-01	1.1068e-01	4.4820e-01	1.4426e-01	7.1337e-01
9.00	10.00	8.5081e-02	8.1801e-01	1.1499e-01	4.0316e-01	1.3838e-01	6.8237e-01
10.00	10.00	6.8657e-02	7.9472e-01	1.1595e-01	3.5753e-01	1.2873e-01	6.4503e-01
11.00	10.00	5.8623e-02	7.6650e-01	1.1823e-01	3.1647e-01	1.1809e-01	6.0150e-01
12.00	10.00	4.7523e-02	7.4396e-01	1.1788e-01	2.7991e-01	1.0641e-01	5.6737e-01
13.00	10.00	3.6829e-02	7.1206e-01	1.1550e-01	2.4479e-01	9.4095e-02	5.2037e-01
14.00	10.00	3.0104e-02	6.7846e-01	1.1188e-01	2.1435e-01	8.2722e-02	4.7282e-01
15.00	10.00	2.4873e-02	6.5099e-01	1.1164e-01	1.8767e-01	7.1921e-02	4.3626e-01
16.00	10.00	1.8947e-02	6.1980e-01	1.0258e-01	1.6431e-01	6.2514e-02	3.9468e-01
17.00	10.00	1.5833e-02	5.8672e-01	9.7826e-02	1.4377e-01	5.3609e-02	3.5381e-01
18.00	10.00	1.2558e-02	5.6382e-01	9.2857e-02	1.2655e-01	4.6275e-02	3.2652e-01
19.00	10.00	1.0266e-02	5.3279e-01	8.3025e-02	1.1164e-01	3.9728e-02	2.9076e-01
20.00	10.00	8.2292e-03	5.1525e-01	8.1532e-02	9.8354e-02	3.4235e-02	2.7213e-01
21.00	10.00	6.4468e-03	4.9209e-01	7.5775e-02	8.7165e-02	2.9612e-02	2.4790e-01
22.00	10.00	5.5671e-03	4.7079e-01	6.9052e-02	7.7725e-02	2.5722e-02	2.2641e-01
23.00	10.00	3.7616e-03	4.4608e-01	6.5629e-02	6.8935e-02	2.2097e-02	2.0329e-01
24.00	10.00	3.3449e-03	4.3357e-01	6.0340e-02	6.1856e-02	1.9350e-02	1.9162e-01
25.00	10.00	3.0093e-03	4.1915e-01	5.6398e-02	5.5407e-02	1.6746e-02	1.7886e-01
26.00	10.00	2.4769e-03	3.9956e-01	5.5325e-02	4.9902e-02	1.4772e-02	1.6271e-01
