,x(cm),h(cm),duration,totalcount,mean,std,plate1_move_x(cm),plate1_move_z(cm),Mean_CosTheta_CosSquaredTheta,Std_CosTheta_CosSquaredTheta,Mean_SolidAngle_CosSquaredTheta(sr),Std_SolidAngle_CosSquaredTheta(sr),Mean_Flux,Std_Flux,Mean_Flux_weighted,Std_Flux_weighted
0,0.0,10.0,156574.7334,44363.0,0.2833343479925734,0.0013452059286326518,0.0,10.0,0.91415,0.069915,0.69654,0.063062,0.004034719441705765,0.0003658006654532562,0.004592869041423669,0.0004163325396070435
1,0.0,32.5,35945.739799999996,1609.0,0.04476191083984868,0.001115913664969643,0.0,32.5,0.98544,0.012029,0.090473,0.001258,0.00469332406793725,0.00013997940385362346,0.005104892659596546,0.0001471035228267176
2,2.0,10.0,156021.4812,44091.0,0.28259570195645595,0.00134583115555735,2.0,10.0,0.90853,0.074297,0.67688,0.086667,0.004140995478614465,0.0005305834158280021,0.00457180324524565,0.000585743119978468
3,3.0,32.5,36396.3548,1362.0,0.037421329896476334,0.0010139829765175238,3.0,32.5,0.98233,0.015058,0.089449,0.0023523,0.0039264083328462394,0.00015374286718457266,0.004310702032354528,0.00016433625979120846
4,4.0,10.0,29682.485500000003,6481.0,0.218344248833205,0.0027121939721090715,4.0,10.0,0.89445,0.084147,0.62019,0.12258,0.003483517129157274,0.0006899033682188523,0.00400007690229947,0.0007919989977465572
5,6.0,32.5,33556.744399999996,1261.0,0.037578138837568525,0.0010582242837934364,6.0,32.5,0.97246,0.021954,0.086459,0.0039418,0.004080331583475235,0.00022298259086042945,0.004397321872104885,0.00023748618223086885
6,8.0,10.0,29732.425799999997,3812.0,0.12821019131240885,0.0020765677370910155,8.0,10.0,0.83733,0.11068,0.4482,0.14426,0.002809241216251871,0.0009053860785068335,0.00293464145934554,0.0009457470647923519
7,9.0,32.5,33031.7034,994.0,0.03009230217294819,0.0009544698666938531,9.0,32.5,0.95615,0.029659,0.0818,0.0053117,0.0033975919526831526,0.0002498781964645517,0.003764093730326844,0.00027361119089504857
8,10.0,10.0,180770.44799999997,18474.0,0.10219590759657797,0.0007518877951856331,10.0,10.0,0.79472,0.11595,0.35753,0.12873,0.002794056655289849,0.001006234115609028,0.003090451269902113,0.001112951248994501
9,12.0,10.0,261681.1521,15911.0,0.06080300347317219,0.00048203247124515495,12.0,10.0,0.74396,0.11788,0.27991,0.10641,0.0020900647877236324,0.0007947492866061836,0.002225581283328946,0.0008462660368212431
10,14.0,10.0,178124.8492,6472.0,0.03633406584801196,0.00045164243959104535,14.0,10.0,0.67846,0.11188,0.21435,0.082722,0.001587780072218892,0.0006131363464826133,0.0016484028867583536,0.000636530425366233
11,16.0,10.0,178154.886,4240.0,0.023799515664139573,0.00036549815638735176,16.0,10.0,0.6198,0.10258,0.16431,0.062514,0.0013084727444549677,0.0004983603473678078,0.00151395483927065,0.000576527318841374
12,18.0,10.0,148297.4852,2582.0,0.0174109493260645,0.00034264494772194565,18.0,10.0,0.56382,0.092857,0.12655,0.046275,0.0011940694844776373,0.0004375403627859611,0.0012521841755407477,0.0004587825097851302
13,20.0,10.0,147525.90399999998,1517.0,0.010282939869326272,0.00026401250988640544,20.0,10.0,0.51525,0.081532,0.098354,0.034235,0.0008116538086225544,0.00028397439011367334,0.0009634387244712056,0.0003367347286175254
14,25.0,10.0,129033.6023,691.0,0.005355194210523874,0.00020372118880377743,25.0,10.0,0.41915,0.056398,0.055407,0.016746,0.0005514094267012967,0.00017161531718061585,0.0005947803638409563,0.00018453576094197604
15,30.0,10.0,128865.23509999999,362.0,0.0028091362245145977,0.0001476449220433731,30.0,10.0,0.35019,0.041154,0.033605,0.0088911,0.0001515060926988834,6.65028784246951e-05,0.00027153669860439656,9.085325898248352e-05
16,100.0,10.0,539259.8006,1282.0,0.0023773327783261433,6.639661910659453e-05,,,,,,,,,,
17,100.0,32.5,34545.0018,58.0,0.0016789693726401832,0.00022045947920210874,,,,,,,,,,
18,200.0,45.0,156555.919,304.0,0.0019417981890547365,0.00011136976414263007,200.0,45.0,0.0,0.006476,0.048206,0.00036144,-7.430647864275473e-05,3.1054466403897536e-05,-5.6549994379303376e-05,3.142892512659007e-05
19,200.0,45.0,156555.919,304.0,0.0019417981890547365,0.00011136976414263007,200.0,45.0,0.0,0.006476,0.048206,0.00036144,-7.430647864275473e-05,3.1054466403897536e-05,-5.6549994379303376e-05,3.142892512659007e-05
