Timestamp	COM3_Coin	COM3_CH0	COM3_CH1	COM4_Coin	COM4_CH0	COM4_CH1
1750324448.4873729	1	7	8	3	8	8
1750324449.0053408	1	7	12	4	9	9
1750324449.5285196	1	8	13	4	10	9
1750324450.0579877	2	9	14	5	11	10
1750324450.5810928	3	10	16	6	12	11
1750324451.1034975	4	13	17	6	13	14
1750324451.6261752	4	14	18	6	15	14
1750324452.145577	5	15	19	7	17	15
1750324452.6712105	5	16	22	7	17	15
1750324453.194033	6	17	25	8	20	16
1750324453.7177653	6	18	25	8	23	16
1750324454.2419019	6	19	31	8	24	17
1750324454.7659051	6	20	31	9	25	18
1750324455.2901678	7	21	35	10	27	19
1750324455.8152838	7	22	36	10	28	21
1750324456.3387272	7	26	38	10	30	22
1750324456.8631568	7	28	40	10	31	22
1750324457.387753	7	28	42	10	31	24
1750324457.912595	7	28	44	10	33	26
1750324458.4374585	7	29	46	11	37	27
1750324458.9638553	8	32	48	12	38	28
1750324459.4897585	9	33	50	13	39	29
1750324460.0169132	10	35	54	15	42	32
1750324460.5448773	10	35	56	15	43	33
1750324461.070694	12	38	58	17	47	35
1750324461.5976734	13	40	60	18	48	36
1750324462.122678	13	40	62	18	49	36
1750324462.6468515	13	40	63	19	51	37
1750324463.1721537	13	42	68	19	52	39
1750324463.7015839	13	44	69	19	52	39
1750324464.2282648	13	45	69	19	53	39
1750324464.7538867	13	48	70	20	54	40
1750324465.2885406	13	50	70	20	55	40
1750324465.815914	13	51	70	20	56	41
1750324466.342125	13	52	71	20	57	41
1750324466.8757844	13	53	73	20	58	42
1750324467.4016385	13	54	77	20	58	42
1750324467.9261608	13	55	79	20	60	43
1750324468.4510162	13	56	80	20	60	43
1750324468.9795592	13	56	81	20	61	44
1750324469.5121527	13	58	84	20	62	44
1750324470.0379539	13	59	86	20	64	45
1750324470.572795	13	63	87	20	64	45
1750324471.1048343	13	63	88	20	66	46
1750324471.6322823	13	64	91	20	67	46
1750324472.1635766	13	64	92	20	67	46
1750324472.694034	13	65	92	20	67	46
1750324473.2199988	13	69	92	20	68	46
1750324473.7465398	13	69	92	20	71	47
1750324474.278695	13	70	93	20	73	48
1750324474.8055353	13	70	94	20	73	48
1750324475.331053	14	72	96	21	78	51
1750324475.8565803	14	73	96	21	81	51
1750324476.3919215	14	74	97	21	82	51
1750324476.9200702	15	79	100	22	85	52
1750324477.4465423	15	81	100	22	85	53
1750324477.9845016	15	82	101	22	86	53
1750324478.5113983	15	83	104	23	87	55
1750324479.0382555	15	83	104	23	88	55
1750324479.5651784	15	84	105	24	90	56
1750324480.0934176	15	87	107	25	91	58
1750324480.6202867	15	88	108	25	92	58
1750324481.1507823	15	88	109	26	93	59
1750324481.676695	15	89	110	27	96	60
1750324482.203342	15	89	111	27	96	60
1750324482.7311888	15	89	111	27	97	60
1750324483.257739	15	89	111	27	98	61
1750324483.7865944	15	90	112	27	99	61
1750324484.313771	15	92	113	27	99	61
1750324484.8413436	15	94	113	27	101	63
1750324485.3702228	16	99	115	29	104	66
1750324485.897278	16	100	115	30	106	67
1750324486.4243455	17	102	116	31	107	70
1750324486.9504118	17	103	117	31	108	70
1750324487.4773192	18	104	120	32	110	72
1750324488.001659	18	105	122	32	110	72
1750324488.529439	18	105	122	32	110	72
1750324489.055569	18	107	123	32	112	73
1750324489.5871527	19	109	126	33	117	76
1750324490.1144884	19	110	126	33	123	77
1750324490.6414483	19	111	127	33	124	77
1750324491.1690958	19	113	127	33	127	77
1750324491.6954327	19	115	128	33	128	77
1750324492.2221394	19	117	129	33	129	77
1750324492.75025	19	118	130	33	130	77
1750324493.2803411	19	119	131	34	133	78
1750324493.8069394	20	121	133	35	135	79
1750324494.3342485	20	125	134	35	135	79
1750324494.8608387	20	125	135	35	135	79
1750324495.386872	21	126	137	36	136	81
1750324495.915277	21	127	138	36	137	83
1750324496.4420278	21	128	139	36	138	84
1750324496.968105	21	128	141	36	138	84
1750324497.4951353	21	129	141	36	138	84
1750324498.0189214	21	129	141	36	141	84
1750324498.546262	21	132	144	36	142	84
1750324499.0770237	21	133	144	36	144	84
1750324499.6172569	22	134	146	37	145	86
1750324500.14306	22	134	146	37	147	87
1750324500.6655283	22	135	148	37	150	87
1750324501.2023163	22	136	150	37	153	87
1750324501.7289793	22	137	151	37	154	88
1750324502.2587872	22	137	152	37	155	89
1750324502.7824306	22	137	154	37	155	89
1750324503.3105133	23	140	158	38	159	90
1750324503.8374264	23	144	159	39	160	91
1750324504.3651838	23	144	159	39	161	91
1750324504.8995407	23	145	159	39	161	92
1750324505.42656	24	146	162	40	163	93
1750324505.95313	25	149	168	42	167	97
1750324506.4801042	25	149	172	43	174	98
1750324507.0074286	25	150	173	44	176	101
1750324507.5351224	26	152	174	44	178	101
1750324508.0604682	26	153	175	44	178	101
1750324508.58704	26	155	175	44	180	102
1750324509.1145444	26	157	175	44	180	102
1750324509.640931	26	157	176	44	181	103
1750324510.1731863	27	158	178	45	183	104
1750324510.6990466	28	160	180	46	185	105
1750324511.2269163	28	161	181	46	185	105
1750324511.748125	28	162	181	46	186	105
1750324512.277052	28	162	182	46	186	105
1750324512.8032522	28	162	183	46	187	105
1750324513.323807	29	164	184	47	189	108
1750324513.8495564	29	164	186	47	190	108
1750324514.3747888	29	166	188	48	191	110
1750324514.9006875	29	169	190	49	193	111
1750324515.4268565	30	170	193	51	197	113
1750324515.9543934	30	173	196	53	199	115
1750324516.4805589	30	174	196	53	202	115
1750324517.0115473	31	177	198	54	203	117
1750324517.537304	31	178	199	54	203	117
1750324518.060804	32	179	202	55	206	118
1750324518.5870137	32	179	204	55	207	118
1750324519.1130328	33	183	207	56	210	119
1750324519.639281	33	183	212	56	211	119
1750324520.1659446	33	183	213	56	211	119
1750324520.6954908	33	184	214	56	212	119
1750324521.2217262	33	186	216	56	214	120
1750324521.747743	33	187	217	58	218	122
1750324522.2731783	33	188	217	58	220	122
1750324522.8007863	33	192	217	59	223	123
1750324523.3258634	34	195	219	60	225	125
1750324523.850807	34	195	220	60	228	126
1750324524.375873	35	196	221	61	231	128
1750324524.9007926	35	198	226	61	231	128
1750324525.4282222	37	201	229	63	234	130
1750324525.953442	37	202	230	63	235	130
1750324526.4798613	37	202	230	63	236	132
1750324527.0060241	38	203	232	65	238	134
1750324527.5320058	39	206	235	65	241	134
1750324528.0616508	39	208	236	65	241	134
1750324528.5871282	39	208	238	65	242	134
1750324529.1139398	39	208	240	65	244	134
1750324529.641224	39	210	241	65	247	134
1750324530.169701	40	212	242	67	250	136
1750324530.6965833	40	214	243	67	252	136
1750324531.2227192	40	216	244	67	253	137
1750324531.7484524	40	219	244	67	257	138
1750324532.2823925	40	219	244	67	260	140
1750324532.8114421	40	221	245	67	262	140
1750324533.3373039	40	221	246	67	262	140
1750324533.863485	40	223	247	67	263	140
1750324534.3904197	41	225	248	68	265	141
1750324534.9239845	41	228	248	68	265	142
1750324535.4544296	41	228	250	68	265	143
1750324535.980826	42	229	253	69	269	145
1750324536.5055275	42	231	253	69	269	146
1750324537.0335307	42	232	254	69	270	147
1750324537.5598013	42	235	255	70	271	148
1750324538.0833747	42	235	256	70	273	149
1750324538.6108158	42	237	256	70	273	149
1750324539.1421692	42	238	256	70	273	149
1750324539.6682725	42	239	258	70	274	149
1750324540.1959622	42	239	258	70	275	149
1750324540.722864	42	240	261	70	275	149
1750324541.2581182	42	240	263	71	277	150
1750324541.7848797	42	243	263	72	279	151
1750324542.3098443	42	244	264	72	281	153
1750324542.831535	43	245	266	73	282	154
1750324543.3574088	43	247	268	74	284	156
1750324543.8838115	43	248	269	74	285	158
1750324544.410354	43	249	269	74	286	158
1750324544.94434	43	250	273	74	287	159
1750324545.4761188	43	251	273	74	288	160
