1750062766.2437968	0	2	4
1750062771.2558599	0	16	20
1750062776.2665462	0	29	35
1750062781.2789063	0	39	54
1750062786.288913	0	45	68
1750062791.303905	0	53	85
1750062796.3137558	0	60	96
1750062801.3367147	0	70	102
1750062806.353356	0	75	112
1750062811.3646615	0	82	125
1750062816.3778884	0	88	138
1750062821.3987508	0	99	148
1750062826.4132278	0	108	164
1750062831.4269571	0	127	174
1750062836.4388301	0	139	186
1750062841.4529777	0	152	196
1750062846.467517	0	160	209
1750062851.4862342	0	172	220
1750062856.5063813	0	184	232
1750062861.51835	0	196	244
1750062866.5307076	0	204	265
1750062871.5453436	0	212	277
1750062876.5583699	0	224	289
1750062881.5726945	0	236	298
1750062886.5877855	0	243	309
1750062891.6060054	0	252	327
1750062896.6186996	1	262	334
1750062901.6322315	1	268	347
1750062906.6470106	1	273	355
1750062911.6603658	1	285	369
1750062916.6747868	1	299	388
1750062921.688698	1	310	396
1750062926.701987	1	324	409
1750062931.7234757	1	336	420
1750062936.7380395	1	345	434
1750062941.7527084	2	357	448
1750062946.777125	2	365	457
1750062951.7909408	2	372	471
1750062956.8054276	2	377	483
1750062961.8247404	2	389	494
1750062966.8386307	3	395	515
1750062971.8522842	3	411	527
1750062976.8668978	3	421	540
1750062981.8865557	3	429	556
1750062986.9009488	3	439	571
1750062991.9233997	3	449	578
1750062996.9385998	3	456	587
1750063001.9518762	3	463	602
1750063006.9658291	3	470	622
1750063011.988871	3	480	634
1750063016.9994023	3	488	644
1750063022.0098152	3	497	657
1750063027.0218582	3	505	669
1750063032.0428765	3	515	681
1750063037.0566828	3	523	695
1750063042.0798266	3	533	702
1750063047.0953877	3	538	711
1750063052.1095905	3	548	719
1750063057.123745	3	557	735
1750063062.1485732	3	566	754
1750063067.1615195	3	572	770
1750063072.1729527	3	588	784
1750063077.1864288	3	601	799
1750063082.2014375	3	612	815
1750063087.215579	3	621	825
1750063092.2296753	3	631	839
1750063097.2429202	3	635	848
1750063102.256787	3	646	864
1750063107.2707212	3	657	869
1750063112.2848818	4	669	879
1750063117.2980552	4	684	893
1750063122.3187168	4	693	906
1750063127.3324091	4	701	922
1750063132.346571	4	712	940
1750063137.3609457	5	720	950
1750063142.3755908	5	727	962
1750063147.3886378	5	741	976
1750063152.4046662	6	745	984
1750063157.4210985	6	758	989
1750063162.4343433	6	774	999
1750063167.4490829	6	784	1017
1750063172.4607534	6	792	1031
1750063177.474686	6	802	1037
1750063182.4883006	6	815	1050
1750063187.5032957	6	832	1063
1750063192.525989	6	838	1075
1750063197.5503428	6	851	1087
1750063202.5657005	6	860	1095
1750063207.587117	6	868	1109
1750063212.6040854	6	877	1125
1750063217.6181595	6	888	1134
1750063222.6307147	6	895	1153
1750063227.6442912	6	904	1166
1750063232.6573365	6	920	1179
1750063237.6709168	6	923	1185
1750063242.6854959	6	930	1195
1750063247.7004519	6	939	1203
1750063252.7252066	6	951	1215
1750063257.7376468	7	962	1228
1750063262.7537692	7	970	1244
1750063267.768476	7	976	1257
1750063272.7856853	8	985	1270
1750063277.8007977	9	992	1280
1750063282.8238242	9	1005	1291
1750063287.8448243	9	1016	1301
1750063292.8596933	9	1022	1319
1750063297.8727534	9	1035	1334
1750063302.8854735	9	1044	1348
1750063307.9001284	9	1051	1360
1750063312.9143	9	1067	1375
1750063317.938691	9	1074	1388
1750063322.958663	9	1085	1398
1750063327.9725273	9	1095	1411
1750063332.9857132	9	1101	1426
1750063338.0003514	10	1108	1443
1750063343.0158257	10	1116	1454
1750063348.0314643	10	1125	1469
1750063353.0459728	10	1131	1479
1750063358.0609906	10	1149	1493
1750063363.0754428	12	1161	1507
1750063368.0902958	12	1168	1524
1750063373.1050048	13	1176	1538
1750063378.1196935	13	1186	1547
1750063383.1351192	13	1190	1560
1750063388.1499019	13	1198	1579
1750063393.1638458	13	1206	1591
1750063398.179105	13	1221	1603
1750063403.1942377	13	1234	1617
1750063408.208823	13	1245	1630
1750063413.2246945	14	1250	1651
1750063418.2392228	14	1260	1671
1750063423.2545435	14	1269	1681
1750063428.2697327	15	1282	1694
1750063433.2843108	15	1293	1715
1750063438.299498	15	1304	1722
1750063443.3218648	16	1321	1736
1750063448.3356602	16	1333	1742
1750063453.3503108	16	1344	1757
1750063458.3710928	16	1356	1765
1750063463.386143	16	1369	1778
1750063468.4010692	16	1382	1791
